Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/android/guava/src/com/google/common/collect/ObjectArrays.java,16,4,1,11,1,2,11,2
/android/guava/src/com/google/common/collect/ObjectCountHashMap.java,37,16,2,19,1,15,19,2
/android/guava/src/com/google/common/collect/ObjectCountLinkedHashMap.java,8,0,2,6,1,0,5,2
/android/guava/src/com/google/common/collect/Ordering.java,81,43,3,35,1,21,41,18
/android/guava/src/com/google/common/collect/package-info.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ParametricNullness.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/PeekingIterator.java,5,0,1,4,1,0,3,1
/android/guava/src/com/google/common/collect/Platform.java,14,0,4,10,1,0,9,4
/android/guava/src/com/google/common/collect/Queues.java,62,39,2,21,1,31,20,10
/android/guava/src/com/google/common/collect/Range.java,44,7,2,35,1,6,35,2
/android/guava/src/com/google/common/collect/RangeGwtSerializationDependencies.java,3,1,1,1,1,0,1,1
/android/guava/src/com/google/common/collect/RangeMap.java,19,2,2,15,1,0,15,3
/android/guava/src/com/google/common/collect/RangeSet.java,29,5,1,23,1,0,23,5
/android/guava/src/com/google/common/collect/RegularContiguousSet.java,20,18,1,1,1,15,3,1
/android/guava/src/com/google/common/collect/RegularImmutableAsList.java,8,6,1,1,1,4,2,1
/android/guava/src/com/google/common/collect/RegularImmutableBiMap.java,11,5,2,4,1,3,6,1
/android/guava/src/com/google/common/collect/RegularImmutableList.java,10,8,1,1,1,3,4,2
/android/guava/src/com/google/common/collect/RegularImmutableMap.java,61,50,9,2,1,39,12,9
/android/guava/src/com/google/common/collect/RegularImmutableMultiset.java,9,7,1,1,1,4,3,1
/android/guava/src/com/google/common/collect/RegularImmutableSet.java,11,9,1,1,1,2,6,2
/android/guava/src/com/google/common/collect/RegularImmutableSortedMultiset.java,5,3,1,1,1,1,2,1
/android/guava/src/com/google/common/collect/RegularImmutableSortedSet.java,16,13,2,1,1,10,2,3
/android/guava/src/com/google/common/collect/RegularImmutableTable.java,17,11,3,3,1,9,5,2
/android/guava/src/com/google/common/collect/ReverseNaturalOrdering.java,6,4,1,1,1,1,2,2
/android/guava/src/com/google/common/collect/ReverseOrdering.java,4,2,1,1,1,1,0,2
/android/guava/src/com/google/common/collect/RowSortedTable.java,4,0,1,3,1,0,2,1
/android/guava/src/com/google/common/collect/Serialization.java,20,8,1,11,1,6,12,1
/android/guava/src/com/google/common/collect/SetMultimap.java,8,0,1,7,1,0,6,1
/android/guava/src/com/google/common/collect/Sets.java,103,47,4,52,1,38,57,7
/android/guava/src/com/google/common/collect/SingletonImmutableSet.java,8,6,1,1,1,2,2,3
/android/guava/src/com/google/common/collect/SingletonImmutableTable.java,4,2,1,1,1,2,0,1
/android/guava/src/com/google/common/collect/SortedIterable.java,4,0,1,3,1,0,2,1
/android/guava/src/com/google/common/collect/SortedIterables.java,4,1,1,2,1,1,1,1
/android/guava/src/com/google/common/collect/SortedLists.java,28,12,1,15,1,20,6,1
/android/guava/src/com/google/common/collect/SortedMapDifference.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/SortedMultiset.java,14,0,1,13,1,0,12,1
/android/guava/src/com/google/common/collect/SortedMultisetBridge.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/SortedMultisets.java,6,2,1,3,1,0,4,1
/android/guava/src/com/google/common/collect/SortedSetMultimap.java,8,1,1,6,1,0,5,2
/android/guava/src/com/google/common/collect/SparseImmutableTable.java,13,10,2,1,1,8,2,2
/android/guava/src/com/google/common/collect/StandardRowSortedTable.java,5,0,2,3,1,0,2,2
/android/guava/src/com/google/common/collect/StandardTable.java,30,15,6,9,1,11,14,4
/android/guava/src/com/google/common/collect/Synchronized.java,38,34,3,1,1,26,10,1
/android/guava/src/com/google/common/collect/Table.java,33,4,1,28,1,0,27,5
/android/guava/src/com/google/common/collect/TableCollectors.java,6,3,2,1,1,1,3,1
/android/guava/src/com/google/common/collect/Tables.java,23,11,2,10,1,11,10,1
/android/guava/src/com/google/common/collect/TopKSelector.java,27,13,2,12,1,13,12,1
/android/guava/src/com/google/common/collect/TransformedIterator.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/TransformedListIterator.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/TreeBasedTable.java,18,8,2,8,1,5,8,4
/android/guava/src/com/google/common/collect/TreeMultimap.java,18,7,1,10,1,7,9,1
/android/guava/src/com/google/common/collect/TreeMultiset.java,44,31,5,8,1,28,13,2
/android/guava/src/com/google/common/collect/TreeRangeMap.java,24,19,2,3,1,18,4,1
/android/guava/src/com/google/common/collect/TreeRangeSet.java,37,23,6,8,1,27,8,1
/android/guava/src/com/google/common/collect/TreeTraverser.java,9,2,1,6,2,1,5,1
/android/guava/src/com/google/common/collect/UnmodifiableIterator.java,4,0,1,3,1,0,2,1
/android/guava/src/com/google/common/collect/UnmodifiableListIterator.java,5,0,1,4,1,0,3,1
/android/guava/src/com/google/common/collect/UnmodifiableSortedMultiset.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/UsingToStringOrdering.java,3,1,1,1,1,0,1,1
/android/guava/src/com/google/common/escape/ArrayBasedCharEscaper.java,16,9,2,5,1,4,9,2
/android/guava/src/com/google/common/escape/ArrayBasedEscaperMap.java,11,8,1,2,1,1,5,4
/android/guava/src/com/google/common/escape/ArrayBasedUnicodeEscaper.java,34,26,3,5,1,21,11,1
/android/guava/src/com/google/common/escape/CharEscaper.java,23,15,1,7,1,15,6,1
/android/guava/src/com/google/common/escape/CharEscaperBuilder.java,11,2,2,7,1,0,9,1
/android/guava/src/com/google/common/escape/ElementTypesAreNonnullByDefault.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/escape/Escaper.java,6,1,1,4,1,0,3,2
/android/guava/src/com/google/common/escape/Escapers.java,32,19,1,12,1,16,13,2
/android/guava/src/com/google/common/escape/package-info.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/escape/ParametricNullness.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/escape/Platform.java,5,1,1,3,1,1,2,1
/android/guava/src/com/google/common/escape/UnicodeEscaper.java,24,14,1,9,1,14,8,1
/android/guava/src/com/google/common/eventbus/AllowConcurrentEvents.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/eventbus/AsyncEventBus.java,5,0,1,4,1,0,3,1
